iter	F1	Logloss
0	0.5951325404	0.690379561
1	0.5866273229	0.6884138537
2	0.6531686943	0.6862724505
3	0.6381174756	0.6842604624
4	0.6432068369	0.6808869507
5	0.6428631091	0.6789009934
6	0.6376133903	0.6772468169
7	0.6487994067	0.6734460361
8	0.640047247	0.67270347
9	0.6377460111	0.6711493495
10	0.6402847346	0.6678040284
11	0.6440113955	0.6620233526
12	0.6447013443	0.6606423559
13	0.644204669	0.6592679207
14	0.6425876098	0.6580933471
15	0.6432972934	0.657517757
16	0.6438939062	0.6563617304
17	0.6456163164	0.6555772587
18	0.6457342856	0.653858804
19	0.6471280187	0.6527881392
20	0.6469370574	0.652048774
21	0.6472119631	0.6511374655
22	0.6484514375	0.6471740045
23	0.6513909301	0.6464178159
24	0.6510860916	0.6453041295
25	0.6497772995	0.6450211656
26	0.6531156995	0.6442444222
27	0.6570414732	0.6414819627
28	0.6638860757	0.6385724451
29	0.662923324	0.6376350787
30	0.6636552953	0.6368442756
31	0.6609647805	0.6361388697
32	0.6608681441	0.6359889028
33	0.6624379921	0.6336703829
34	0.6620436512	0.6330795568
35	0.664442168	0.6322994837
36	0.6642967992	0.6319518841
37	0.6633274069	0.6311081376
38	0.6649085126	0.6307468563
39	0.6648985794	0.6304214176
40	0.6650939851	0.6295224063
41	0.664669859	0.6291522921
42	0.6652501408	0.6285795975
43	0.6652019246	0.6280167353
44	0.6671041193	0.6261969514
45	0.6670962604	0.6260899084
46	0.6657574593	0.6224329972
47	0.6658675343	0.6220985916
48	0.6689173905	0.6218680885
49	0.6690712253	0.6214989857
50	0.6691601768	0.6194452719
51	0.6683942676	0.6189432907
52	0.6696312907	0.6184641179
53	0.671325049	0.6180911985
54	0.6735967643	0.6177053971
55	0.6725857764	0.6172393076
56	0.6756944776	0.616948649
57	0.67485688	0.6165187284
58	0.6736870704	0.616225456
59	0.6743570687	0.616181543
60	0.6760291107	0.6157659149
61	0.67636259	0.6149887191
62	0.6773629122	0.6146519948
63	0.6771119107	0.6144615217
64	0.6786956158	0.6141765503
65	0.6779516486	0.613816111
66	0.6778654738	0.6135508785
67	0.679790748	0.6132598299
68	0.6808610115	0.6128972616
69	0.6794506008	0.6127656768
70	0.6791320468	0.6124012835
71	0.6797988884	0.6120717211
72	0.6782955027	0.6118844588
73	0.6777904255	0.6117218931
74	0.6766214437	0.6113825565
75	0.6777970415	0.6110621989
76	0.6788013332	0.6110098262
77	0.6786296501	0.6109415681
78	0.6777105671	0.6104974944
79	0.6790477645	0.6102055029
80	0.6793006743	0.6100394094
81	0.6791320468	0.6098020595
82	0.6788792626	0.6094163116
83	0.678966804	0.6090528348
84	0.6787981852	0.608884521
85	0.6806429477	0.6084964956
86	0.6797988884	0.6079900789
87	0.6803802576	0.6076732477
88	0.680796952	0.6076726583
89	0.6821236156	0.6074719369
90	0.683944149	0.6072378132
91	0.6817080712	0.6068561116
92	0.6824611013	0.6065004005
93	0.6822142762	0.606476582
94	0.6820578151	0.6061813511
95	0.6817923866	0.6055401413
96	0.6818887613	0.6052687115
97	0.6808965744	0.6051409514
98	0.681900845	0.6049231047
99	0.6817256678	0.6047115999
100	0.682311553	0.6045024071
101	0.6824808165	0.6042148257
102	0.6831659502	0.6037668925
103	0.6835830797	0.603612659
104	0.6844165465	0.6034150113
105	0.6845951216	0.6030094486
106	0.6845185488	0.6028950451
107	0.6845185488	0.6028702897
108	0.6849356877	0.6025397569
109	0.683853737	0.6024198891
110	0.6841092871	0.6021552328
111	0.683443276	0.6019584357
112	0.6831098282	0.6017886893
113	0.6821077107	0.6016208908
