iter	Passed	Remaining
0	66	19992
1	82	12305
2	96	9599
3	111	8230
4	124	7364
5	140	6902
6	155	6511
7	168	6155
8	175	5670
9	189	5501
10	205	5395
11	227	5450
12	242	5344
13	255	5226
14	275	5228
15	282	5012
16	292	4870
17	302	4743
18	316	4683
19	331	4645
20	341	4534
21	348	4404
22	358	4312
23	368	4232
24	378	4158
25	383	4041
26	393	3976
27	403	3915
28	413	3861
29	423	3809
30	433	3760
31	442	3706
32	448	3632
33	459	3591
34	468	3545
35	477	3505
36	487	3468
37	496	3426
38	506	3392
39	516	3357
40	523	3304
41	529	3250
42	539	3224
43	549	3199
44	560	3174
45	564	3119
46	575	3095
47	584	3067
48	593	3038
49	602	3013
50	612	2990
51	622	2968
52	632	2947
53	641	2923
54	651	2903
55	662	2884
56	671	2863
57	681	2844
58	692	2826
59	698	2793
60	707	2770
61	717	2753
62	726	2733
63	737	2717
64	746	2699
65	755	2678
66	765	2662
67	774	2643
68	784	2627
69	791	2600
70	801	2584
71	810	2566
72	818	2545
73	827	2527
74	835	2506
75	845	2491
76	849	2461
77	855	2435
78	864	2419
79	874	2404
80	883	2389
81	893	2376
82	903	2361
83	919	2364
84	929	2352
85	940	2339
86	948	2322
87	958	2310
88	962	2280
89	970	2263
90	980	2251
91	989	2237
92	999	2225
93	1005	2204
94	1016	2193
95	1025	2179
96	1034	2164
97	1043	2151
98	1053	2138
99	1063	2126
100	1073	2114
101	1082	2101
102	1092	2089
103	1103	2078
104	1112	2066
105	1121	2053
106	1132	2042
107	1138	2024
108	1149	2013
109	1158	2000
110	1168	1989
111	1178	1977
112	1187	1965
113	1196	1952
